irrigation_project,lat,long
dahua_clusters,3.64278,40.755447
abasweni,2.167596,39.860409
aboret_irrigation,0.101767,39.791176
rahole_central,-0.32376,39.761944
bura_east,-0.961443,39.990404
tana,-1.806287,39.756711
bura,-1.315971,39.599392
avuyalo,-2.860383,39.625602
chala,-3.583971,37.981056
lumi,-3.333308,37.814121
uviani,-2.413028,37.876815
kibwezi_clusters,-1.771293,37.301016
kitui_clusters,-1.186117,38.167714
usueni,-0.640297,38.237856
banna,-0.210186,37.87052
rapsu,0.759829,38.559621
malkaladlka,1.471668,38.703643
mitungu,0.100619,37.835259
kagaari,-0.468987,37.540252
kiryinga,-0.547294,37.186111
entarara,-1.668541,36.422178
lower_ruja,-1.003143,34.289489
suba_cluster,-0.672422,34.149849
bay_cluster,-0.529989,34.308477
siso,-0.318112,34.949373
west_bank,-0.172508,34.901661
ahoro,-0.044662,35.185373
lower_nzio,0.089627,34.184679
subukia_cluster,-0.106711,35.975492
lower_sio,0.262301,34.244341
chepkosom,0.587756,35.15308
sadai,0.469919,35.868197
kapkuikui,0.828608,36.074253
eldume,1.111974,35.8527
turkwel,1.915211,35.525378
nakamane,2.096326,35.520107
katilu,2.276443,35.508172
nadoto,2.412157,35.425123
kabuloke,2.550241,35.344476
kalemunyang,2.732596,35.302897
morulem,2.220256,36.11576
above_morulem,2.345974,36.191768
elelen,2.479221,36.228795
naoros,2.860986,35.822888